id,name,category,city,country,latitude,longitude,website,email,phone,social,verified
1,Aura Lounge,Event Management,Ouled Fayet,Algeria,36.7422495,2.9457368,,,+213 562 23 57 25,,False
2,Soulfly algerie,Other,Oran,Algeria,35.7133306,-0.6141592,http://soulflyalgerie.com/,,+213 771 04 35 86,,False
3,Edifício LK11,Other,Luanda,Angola,-8.8166472,13.2393734,,,,,False
4,AHOURA,Other,Luanda,Angola,-8.9004047,13.1960141,https://ahoura.ao/,,+244 972 582 100,,False
5,AURA CONSULTING,Health & Wellbeing,Cotonou,Benin,6.380709899999999,2.370465,https://auraconsultings.org/,,+229 01 94 49 40 44,,False
6,Aura chemicals,Other,Gaborone,Botswana,-24.6858132,25.8943398,,,+267 74 171 510,,False
7,Aurostar Diamonds Botswana Pty Ltd,Other,Gaborone,Botswana,-24.5888886,25.912543,http://www.aurostargroup.com/,,+267 316 7364,,False
8,Aurora Media Group,Creative Industries,Gaborone,Botswana,-24.6282079,25.9231471,https://www.auroramediagroup.org/,,+267 72 320 841,,False
9,Local Enterprise Authority,Other,Gaborone,Botswana,-24.6784105,25.9285363,http://www.lea.co.bw/,,+267 364 4000,,False
10,Protea Hotel Gaborone Masa Square,Accommodation,Gaborone,Botswana,-24.6525343,25.90381,https://www.marriott.com/en-us/hotels/gbepg-protea-hotel-gaborone-masa-square/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,+267 315 9954,,False
11,FORTUNE BUSINESS & COMPANY sarl,Other,Ouagadougou,Burkina Faso,12.3669395,-1.512769,http://www.fortunebusiness.bf/,,+226 25 45 24 74,,False
12,Aura Café,Other,Bujumbura,Burundi,-3.384526,29.362477,,,+257 68 88 68 86,,False
13,TUI BLUE Cabo Verde - Adults Only,Other,Santa Maria,Cabo Verde,16.6140769,-22.9244981,https://www.tui.co.uk/destinations/africa/cape-verde/cape-verde-islands/santa-maria-cape-verde-isl/hotels/tui-blue-cabo-verde.html,,+238 242 23 70,,False
14,Agua hotels Sal Vila Verde,Accommodation,Santa Maria,Cabo Verde,16.614662,-22.9182238,http://www.aguahotels.pt/index.php/pt/hoteis-builder/sal-vila-verde,,+238 242 18 00,,False
15,Aura,Other,Yaoundé,Cameroon,3.8287635,11.4794491,http://www.auracameroon.com/,,+237 2 22 30 32 89,,False
16,Aura,Other,Yaoundé,Cameroon,3.8682271,11.5171823,http://www.auracameroon.com/,,+237 2 22 66 57 44,,False
